Indonesia,label
"di sore ini, kami menjelajahi gurun yang luas ini, panas matahari masih begitu terik sampai-sampai saya melihat tangan kanan saya ada dua.",0
"saya dulu mulai usaha dari bawah sekali, mulai dari tukang, terus saya belajar mengatur para tukang, trus saya belajar bahan bangunan yang baik, dan sampai sekarang saya masih jadi tukang",0
"maafkan adik saya atas macam macam kejahilan maupun kelakuan lainnya, untuk meminta maaf, saya akan bermain sulap kartu.",2
"di suatu sore hari sebuah raksasa keluar dari balik tembok itu, diikuti oleh raksasa-raksasa lainnya, dan mereka bergerak tanpa pandang bulu, sepertinya mereka hendak mengelilingi dunia",0
email pribadi adalah suatu informasi yang berharga serta harus dijaga kerahasiannya.,1
Saya ingin kopi susu campur madu dengan kecap dan cabai asin.,0
"hanya tingkat sma, dan anak-anak disiapkan agar bisa melanjutkan kuliah di kampus-kampus berkualitas.",0
"nenek asli sibolga, dan kakek meninggal pada saat ayah saya, abdul gafar tanjung, baru berusia 5 tahun.",0
setiap subuh para istri meniup siong (potongan bambu) untuk menghidupkan tumpukan kayu bakar,0
mereka melarikan diri jauh ke rimba yang dalam karena ingin menghindarkan diri dari wabah kolera.,2
"satu abad lalu, 1908, sekelompok kecil anak muda terdidik telah meletakkan sebuah fondasi organisasi sebagai cikal-bakal proklamasi 1945.",1
"menurut pengalaman banyak pasien seperti dijelaskan prof. iskandar wahidiyat, biasanya setelah diketahui mengidap talasemia mayor, usia pasien tidak akan panjang, paling lama hanya tujuh hingga delapan tahun sudah meninggal.",0
"rangkaian acara kemudian dilanjutkan dengan terjun payung yang dilakukan wakil dari tni dan polri serta wartawan senior tvri, efendi soen.",0
bahwa bahasa baik lokal maupun asing adalah permainan kata kata tidak lebih dari itu,1
"Baiklah, silahkan isi informasi ini di sini. Apakah hanya satu koper?",0
keindahan yang sederhana ini membuatku belajar menghargai cinta yang sekarang duduk di sampingku.,1
bahan pangan tidak ada.,1
"membuktikan bahwa anak bangsa dari keluarga sederhana, dengan tekad yang kuat dan dengan background tidak relevan, tapi bisa membuahkan keberhasilan.",0
adi sasono adalah seorang mantan aktivis mahasiswa sekaligus tokoh lembaga swadaya masyarakat.,0
"masih merupakan bank dengan kepemilikan 100 persen warga indonesia, saat mayoritas usaha di sektor keuangan indonesia dimonopoli oleh asing.",0
"untuk mengantisipasi hal itu, sengaja paraf saya permudah agar bisa ditiru oleh salah seorang teman yang setiap hari mewakili saya menorehkan paraf pada daftar absensi, sementara saya sendiri tidak mengikuti perkuliahan.",1
tubuhnya yang ramping bertumpu di atas sepasang sandal kayu berwarna biru.,2
bunganya dicaping mulai dari 1 persen dan kemudian naik secara bertahap hingga akhirnya menggunakan bunga dengan suku bunga komersial yang berlaku umum di pasaran.,0
"jadi, sudah biasa menghadapi tekanan seperti itu.",0
"hingga pada tahun kerusuhan terjadi, mei 1998, tidak ada satu pun kantor bank mega yang dirusak massa, tak ada satu pun mobil kami yang dihancurkan, dan hingga hari ini hanya bank mega sebagai satu-satunya bank yang mobilnya memakai merek, bank lainnya tidak ada.",0
"terima kasih bapak, terima kasih ibu.",1
Itu akan baik-baik saja.,1
"tabahlah, kawan, ambil semua risiko, begitulah hidup.",1
kekuatan media memang luar biasa.,1
terimalah harun pak karena slb hanya ada di pulau bangka dan kami tidak punya biaya untuk menyekolahkannya ke sana,0
"latihan pramuka seperti biasa, kami belajar baris-berbaris, mempelajari berbagai sandi dan smafor.",1
tujuannya bukan untuk menjawab tapi untuk menjegal lintang.,1
Saya pikir saya dapat menempatkan panggilan Anda setelah satu menit.,0
Skor terbaik saya adalah sembilan puluh delapan.,1
Saya telah pergi ke New York.,2
"Permisi, saya terkunci di dalam. Bisakah saya mendapatkan kunci lain?",0
Berapa biaya untuk memastikan sebanyak tiga ratus dolar?,0
Di loket mana saya dapat membuat reservasi?,0
"Tolong, bisakah saya mendapatkan tanda terima?",1
"atas kemenangan di final itu, piala thomas masih bisa dipertahankan indonesia dengan posisi 3-2 melawan malaysia.",1
"apabila pengusaha datang ke pemerintah jangan minta jatah, sebaliknya pula apabila pemerintah datang ke swasta.",0
Silahkan tukar cek perjalanan ini dengan uang tunai.,0
Apakah ada restoran yang bagus dan murah di sekitar sini?,1
Maukah Anda menunjukkan kepada saya pilihan yang lain?,2
"koordinasi untuk kegiatan ini dilakukan di kantor para group hingga larut malam, bahkan hingga pukul tiga pagi.",0
Baiklah. Simpan tanda ini dan perlihatkan ketika Anda datang untuk mengambilnya.,1
"harry mendengarkan jingle iklan fruit ‘n’ bran, sereal untuk sarapan, sambil mengawasi mrs figg berjalan lewat perlahan.",0
Dimana bagian pakaian wanita?,0
Saya di bandara sekarang. Bagaimana saya bisa sampai ke tempat Anda?,0
tapi hedwig tidak kembali keesokan harinya.,0
angkatan 1981 terdiri dari kelas ips (5 kelas) dan kelas ipa (11 kelas).,0
"seluruh tubuh kami terbalut debu bercampur bau asam keringat karena sejak pagi tidak mandi, dan hampir tanpa tidur selama berhari-hari.",2
mereka justru diberi pengertian bahwa islam adalah rahmatan lil alamin.,2
selian itu pandangan matanya tidak fokus melenceng sekitar 20 derajat,1
"misalkan satu diktat berjumlah 100 lembar, dikalikan 100 mahasiswa, dengan ongkos produksi rp 15 per lembar saja sudah terkumpul total rp 150.000.",0
ini semua dilakukan saat kondisi sulit dan demi penghematan biaya.,1
"kami seharusnya tidur di belakang, di ruangan beduk dan keranda jenazah.",0
Apakah Anda yakin Anda benar-benar tidak bisa pergi besok?,1
Silahkan buka mulut Anda lebar-lebar.,2
meluncurlah terus sampai ketinggian di mana gravitasi bumi sudah tidak ada,2
"ada yang menjadi politisi, anggota tni, polisi, pegawai pemerintah, pegawai swasta, dan lain-lain.",0
karena harun tidak bisa menulis maka jumlah kertas hanya sembilan tapi bu mus tetap menghargai hak asasi politiknya,1
ia merasa telah mendapatkan keadilan dan menganggap bahwa bebannya sebagai ketua kelas akan segera berakhir,2
aku hanya ingin duduk di samping mahar!,0
juga ke asrama tentara dan asrama polisi.,0
"penggabungan tidak hanya dalam gedung, sistem opersional dan sales juga di jadikan satu dengan sistem yang sudah ada dan terbangun di trans tv.",0
Cerita macam apa itu?,2
Untuk mengambil.,1
Kapan Wimbledon?,0
Dimanakah ruang konferensi?,2
"apabila menjadi juara kedua saja sudah tidak mungkin, lebih baik kita tidak usah masuk sama sekali.di dunia media contohnya, kami punya televisi, sementara ini hanya dua televisi.",0
"hampir semua mata kuliah dapat a+, atau setidaknya a.",1
"Halo, saya ingin membuat pemesanan untuk dua kamar pada bulan Juli dari tanggal dua puluh tujuh",0
"Ya, pak. Apakah Anda ingin mencobanya?",0
"bahkan, jika ditawari 100 persen, saya siap, meski artinya carrefour tidak ada lagi di indonesia, tidak masalah bukan?",2
bibi petunia dan paman vernon tampaknya berpendapat bahwa saat dudley muncul adalah saat yang tepat untuk pulang dan sesudahnya berarti sangat terlambat,1
"tidak mungkin saya terjun dalam bentuk usaha apa pun apabila dalam kurun waktu tertentu, 10 tahun misalnya, kami tidak mungkin juara.",0
Dua ratus dolar. Tunai atau kartu kredit?,0
"karena sifatnya simulasi, bukan kompetisi, kawan-kawan di kepelatihan memutuskan menggunakan seragam produksi local.",0
"Tolong, dapatkah Anda mengeluarkan yang baru?",0
Saya tidak berpakaian resmi.,0
mudah-mudahan buku ini bisa bermanfaat dan membawa kebaikan bagi kita semua.,1
esoknya di sekolah lintang heran melihat kami yang kebingungan dengan persoalan jurusan tiga angka,0
Bagaimana dengan mencoba anting-anting ini?,1
suasana sunyi senyap yang ada hanya aku seekor buaya ganas yang egois dan intaian maut,2
"Tidak, Anda tidak harus membuat reservasi. langsung masuk saja.",1
bisa dikatakan saya merupakan mahasiswa paling sibuk di seluruh universitas indonesia kala itu.,2
"akibat aksi dikampus itu, tidak sekali dua kali kami didekati polisi, intel.",2
Saya punya sekitar seratus dolar di dalamnya.,2
jika bu mus menjelaskan pelajaran dia duduk tenang dan terus menerus tersenyum,0
Ukuran saya adalah enam.,0
Apakah Anda punya sepatu kaki lebar?,0
Saya terlambat ke penerbangan selanjutnya.,1
ada dua pentolan teman berpengaruh sewaktu di smp.,2
"selanjutnya, para ekonom itu berusaha meyakinkan saya soal bonus demografi tersebut.",2
"saya ditunjuk menjadi ketua harian, dan wakil ketua hariannya adalah pak ishadi.",2
Jalan lurus sampai Anda melihat toko obat.,0
demikian komentar a kiong mencari penyakit,0
